,id,title,original_language,release_date,genre_ids,popularity,vote_average,vote_count
136,545611,Everything Everywhere All at Once,en,2022-03-24,"[28, 12, 878]",290.551,8.3,1280
137,928270,Heatwave,en,2022-01-17,[53],295.193,7.3,49
138,476669,The King's Man,en,2021-12-22,"[28, 12, 53, 10752, 9648]",284.355,6.9,3034
139,675445,PAW Patrol: The Movie,en,2021-08-09,"[16, 10751, 12, 35]",300.964,7.4,994
140,791373,Zack Snyder's Justice League,en,2021-03-18,"[28, 12, 14, 878]",291.834,8.3,8026
141,799348,Yool and Seul,ko,2021-01-08,[18],403.207,6.0,1
142,423108,The Conjuring: The Devil Made Me Do It,en,2021-05-25,"[27, 9648, 53]",288.144,7.6,4597
143,624860,The Matrix Resurrections,en,2021-12-16,"[878, 28, 12]",273.037,6.7,4000
144,877183,The Simpsons in Plusaversary,en,2021-11-12,"[16, 35, 14]",288.058,6.6,319
145,512195,Red Notice,en,2021-11-04,"[28, 35, 80, 53]",291.736,6.8,3964
146,317442,The Last: Naruto the Movie,ja,2014-12-06,"[28, 10749, 16]",264.783,7.9,1254
147,347201,Boruto: Naruto the Movie,ja,2015-08-07,"[16, 28, 35]",286.108,7.6,1066
148,606402,Yaksha: Ruthless Operations,ko,2022-04-08,[28],278.479,6.2,105
149,755812,"Miraculous World: New York, United HeroeZ",fr,2020-09-25,"[16, 10751, 12, 10770, 14, 28]",271.164,8.2,915
150,852592,Centauro,es,2022-06-15,"[28, 80, 53]",208.096,6.4,88
151,436969,The Suicide Squad,en,2021-07-28,"[28, 35, 12]",281.42,7.6,6459
152,912826,Rubius X,es,2022-07-21,[99],233.047,8.5,103
153,646385,Scream,en,2022-01-12,"[27, 9648, 53]",281.006,6.8,1553
154,1003995,Enfermo Amor,es,2022-07-27,"[35, 10749, 18]",252.552,7.3,22
155,916821,Gasoline Alley,en,2022-02-25,"[28, 53, 80, 9648]",285.696,5.3,66
156,632727,Texas Chainsaw Massacre,en,2022-02-18,"[27, 53]",293.221,5.3,880
157,897424,Dark Cloud,en,2022-05-09,"[878, 27, 53]",269.033,6.7,54
158,299534,Avengers: Endgame,en,2019-04-24,"[12, 878, 28]",259.738,8.3,21569
159,619803,The Roundup,ko,2022-05-18,"[80, 28]",254.857,7.4,47
160,696806,The Adam Project,en,2022-03-11,"[28, 12, 35, 878]",284.966,7.1,2786
161,671,Harry Potter and the Philosopher's Stone,en,2001-11-16,"[12, 14]",251.586,7.9,23045
162,892527,King,fr,2022-02-16,"[12, 35, 10751]",294.497,6.9,65
163,24428,The Avengers,en,2012-04-25,"[878, 28, 12]",237.916,7.7,27342
164,395,AVP: Alien vs. Predator,en,2004-08-12,"[12, 878, 28, 27]",235.349,5.9,3571
165,674,Harry Potter and the Goblet of Fire,en,2005-11-16,"[12, 14, 10751]",266.12,7.8,17557
166,855433,Escape Room: La Película,ca,2022-03-11,"[27, 35, 53]",236.967,5.7,13
167,939475,Too Old for Fairy Tales,pl,2022-03-18,"[10751, 35]",241.339,6.6,22
168,613504,After We Collided,en,2020-09-02,"[10749, 18]",262.404,7.3,4650
169,975117,Father There Is Only One 3,es,,[],246.181,6.8,3
170,34433,Dragon Ball Z: Broly – The Legendary Super Saiyan,ja,1993-03-06,"[16, 878, 28]",253.336,7.2,666
171,955740,Dakota,en,2022-04-01,"[10751, 12]",256.129,6.1,11
172,537915,After,en,2019-04-11,"[10749, 18]",250.462,7.2,7185
173,7445,Brothers,en,2009-01-22,"[18, 53, 10752]",203.248,7.2,2403
174,785985,The Takedown,fr,2022-05-06,"[35, 28]",247.693,6.0,312
175,820232,Demon Slayer: Kimetsu no Yaiba Sibling's Bond,ja,2019-03-29,"[28, 16, 14]",353.255,8.6,41
176,754609,Mrs. Harris Goes to Paris,en,2022-07-15,"[35, 18]",227.449,7.7,33
177,992187,Chip and Potato: Chip's Holiday,en,2022-06-27,[16],242.285,5.3,6
178,762504,Nope,en,2022-07-20,"[27, 9648, 878, 53]",249.32,7.1,171
179,810171,The Valet,en,2022-05-11,"[35, 10749]",234.926,7.8,325
180,952217,King Tweety,en,2022-06-13,"[16, 35, 10751]",251.354,7.4,40
181,818647,Through My Window,es,2022-02-04,"[18, 10749]",242.531,7.5,2184
182,587272,Father There Is Only One,es,2019-08-02,[35],240.768,7.6,519
183,672,Harry Potter and the Chamber of Secrets,en,2002-11-13,"[12, 14]",242.458,7.7,18571
184,864116,A Day to Die,en,2022-03-04,"[28, 53, 80]",244.323,6.3,131
185,843243,Fate/kaleid liner Prisma☆Illya: Licht Nameless Girl,ja,2021-08-27,"[28, 16, 14]",217.813,0.0,0
186,746333,Superwho?,fr,2022-02-02,"[35, 28]",203.198,6.1,196
187,913205,Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,en,2022-05-23,"[16, 28, 35]",251.494,6.9,56
188,399566,Godzilla vs. Kong,en,2021-03-24,"[28, 14, 878]",224.173,7.8,8113
189,550988,Free Guy,en,2021-08-11,"[35, 12, 878]",256.986,7.7,6110
190,892153,Tom and Jerry Cowboy Up!,en,2022-01-24,"[16, 35, 10751, 37]",233.52,6.9,373
191,767,Harry Potter and the Half-Blood Prince,en,2009-07-07,"[12, 14]",232.385,7.7,16441
192,673,Harry Potter and the Prisoner of Azkaban,en,2004-05-31,"[12, 14]",239.209,8.0,18265
193,639721,The Addams Family 2,en,2021-10-01,"[16, 12, 35, 10751]",236.818,7.1,908
194,585,"Monsters, Inc.",en,2001-11-01,"[16, 35, 10751]",244.383,7.8,15791
195,67203,Arctic Predator,en,2010-08-20,"[28, 878, 53]",223.024,5.6,33
196,979163,Beyond Infinity: Buzz and the Journey to Lightyear,en,2022-06-10,[99],206.651,7.1,191
197,497698,Black Widow,en,2021-07-07,"[28, 12, 878]",223.882,7.4,7965
198,589761,Chernobyl: Abyss,ru,2021-04-15,"[18, 36, 12]",234.565,6.2,382
199,12445,Harry Potter and the Deathly Hallows: Part 2,en,2011-07-07,"[14, 12]",219.894,8.1,17570
200,385128,F9,en,2021-05-19,"[28, 80, 53]",226.082,7.2,5577
201,50014,The Help,en,2011-08-09,[18],237.752,8.2,6614
202,682908,Nice Sister-In-Law 3,ko,2018-06-07,[10749],311.352,0.0,0
203,937013,The Mystic Nine: Begonia from Qingshan,zh,2022-02-10,"[28, 9648, 12]",205.078,4.4,5
204,529203,The Croods: A New Age,en,2020-11-25,"[16, 10751, 12, 14, 35]",222.148,7.6,3065
205,798223,Recurrence,es,2022-07-27,"[53, 80, 18]",226.415,5.5,51
206,987337,The Wonderful Summer of Mickey Mouse,en,2022-07-08,"[16, 35]",223.055,6.1,8
207,933886,Dos más dos,es,2022-03-31,[35],200.48,6.8,28
208,99861,Avengers: Age of Ultron,en,2015-04-22,"[28, 12, 878]",212.321,7.3,20199
209,527774,Raya and the Last Dragon,en,2021-03-03,"[16, 10751, 14, 28, 12]",192.533,8.0,5501
210,685274,Mobile Suit Gundam Hathaway,ja,2021-06-11,"[16, 28, 18, 878]",211.282,7.5,95
211,668742,Father There Is Only One 2,es,2020-07-29,"[35, 10751]",197.781,7.5,397
